Round,Accuracy,Loss
1,0.712155963302752,0.520351759953932
2,0.88302752293578,0.301279298283837
3,0.903669724770642,0.277060176703063
4,0.902522935779817,0.290109135312113
5,0.89908256880734,0.311858459443531
6,0.910550458715596,0.272764198109508
7,0.910550458715596,0.284431508149613
8,0.913990825688073,0.261640618504448
9,0.916284403669725,0.270356942137534
10,0.916284403669725,0.273687672547319
11,0.908256880733945,0.274990585353225
12,0.918577981651376,0.278821318596602
13,0.915137614678899,0.269691821035336
14,0.916284403669725,0.243315352914347
